Microchip,Weight,Headwidth,TrapID,year,month,dftd,breed,agecat
982009106089677,7,99,FNP118,2009,6,0,1,1year
982009106166652,6,98,NA,2009,6,0,1,1year
982009106218282,6.3,105,FNP034,2011,8,1,1,1year
982009106246522,9.3,110,FNP078,2015,6,0,1,Adult
982009106246522,6.4,104,FNP139,2013,10,0,1,Adult
982009106246522,8.2,110.9,FNP077,2016,8,0,1,Adult
982009106392944,6,100,FNP120,2010,9,0,0,1year
982009106392944,5.8,110,FNP116,2011,8,1,0,Adult
982009106498545,6,102,FNP121,2010,9,0,0,1year
982009106519526,7.9,116,FNP098,2012,9,0,1,Adult
982009106519526,7,104,FNP096,2010,9,0,1,1year
982009106519526,7.8,108,FNP102,2011,8,0,1,Adult
982009106540080,6.7,103,FNP118,2011,8,0,0,1year
982009106676823,9.5,110.1,FNP033,2016,7,0,1,Adult
982009106676823,8,100,FNP033,2013,10,0,1,1year
982009106676823,10.8,109,FNP033,2015,6,0,1,Adult
985120015476925,5.4,97.8,NA,2005,8,0,1,Adult
985120015476925,2.79,85.19,FNP002,2004,6,0,0,1year
985120015476925,4.59,103.9,FNP002,2006,4,0,1,Adult
985120015516664,5.09,92.69,FNP121,2004,7,0,0,1year
985120015995275,7.2,108.1,NA,2005,4,0,1,Adult
985120015995275,6.1,105.5,FNP118,2004,11,0,0,1year
985120015995510,3.9,91.2,NA,2005,8,0,0,Adult
985120015995510,3,100,NA,2006,8,0,1,Adult
985120015995557,6.3,105.3,FNP096,2004,11,0,0,1year
985120015995557,7.7,108.4,NA,2005,4,0,1,Adult
985120015995852,6.3,100.5,FNP040,2004,11,0,0,1year
985120015996311,6.7,108,FNP086,2004,11,0,1,Adult
985120015997480,5.7,104.5,FNP039,2004,11,0,0,1year
985120015997480,7.2,105,NA,2005,4,0,1,Adult
985120015999193,5.7,106.8,FNP122,2004,11,0,0,1year
985120015999432,4.69,96.8,FNP120,2004,7,0,1,1year
985120015999432,7.5,116.1,FNP118,2005,7,0,1,Adult
985120016002981,5.59,97.09,FNP101,2004,7,0,1,1year
985120016020002,6.5,106.5,FNP106,2004,12,0,1,Adult
985120016020002,8,110.8,NA,2005,4,0,1,Adult
985120016022249,6.6,101.7,NA,2005,4,0,1,Adult
985120016022249,5.8,102.8,FNP025,2004,11,0,0,1year
985120016022370,5.09,100.5,FNP122,2004,7,0,0,1year
985120016024442,6.09,100.4,FNP116,2004,7,0,0,1year
985120016025982,5,94.69,FNP149,2004,6,0,0,1year
985120016025982,7,102.6,NA,2005,4,0,1,Adult
985120016032124,5.19,104.3,FNP201,2004,6,0,1,Adult
985120016032124,7.19,104.5,FNP202,2007,7,0,1,Adult
985120016032124,4,98.8,FNP207,2003,7,0,0,1year
985120016032124,5.9,106.3,FNP199,2006,8,0,1,Adult
985120016032124,5.6,105,NA,2005,8,0,1,Adult
985120016057245,5.19,99.59,FNP088,2004,7,0,0,1year
985120016060923,5.19,96.4,FNP091,2004,7,0,0,1year
985120016061752,8.4,102.1,NA,2005,4,0,1,Adult
985120016061752,6.9,105.6,FNP118,2004,11,0,0,1year
985120016061875,5.09,100.3,FNP108,2004,11,0,0,1year
985120016063435,6.9,103.5,FNP124,2004,7,0,1,Adult
985120016064676,6.4,104.8,FNP031,2004,7,0,1,Adult
985120016065278,5.2,99.4,FNP020,2004,11,0,0,1year
985120016066498,6.59,90.8,FNP030,2004,6,0,0,1year
985120016069370,7,101,FNP005,2004,6,0,1,Adult
985120016069370,9.1,109.2,59,2005,7,0,1,Adult
985120016069370,5.3,100.4,FNP009,2003,6,0,0,1year
985120016069464,7.6,111.7,FNP031,2004,11,0,1,Adult
985120016071738,5,94.8,FNP195,2004,6,0,1,Adult
985120016072001,6.7,107.3,FNP121,2004,12,0,1,Adult
985120016078264,5.5,100.3,FNP097,2004,12,0,1,1year
985120016080892,5.5,93.19,FNP028,2004,6,0,1,Adult
985120016083872,5.9,104.1,FNP164,2004,6,0,1,Adult
985120016083872,6,107.8,FNP021,2003,6,0,1,Adult
985120016084357,6.19,110,FNP022,2005,12,0,1,Adult
985120016086299,5.69,97.3,FNP091,2003,6,0,0,1year
985120016086299,8,110.3,NA,2005,4,0,1,Adult
985120016086299,6.6,108.5,FNP090,2004,11,0,1,Adult
985120016086565,5.5,99.8,FNP039,2004,11,0,0,1year
985120016086565,4.59,106,FNP040,2006,4,0,0,Adult
985120016086565,5.4,106.8,FNP086,2005,12,0,1,Adult
985120016099646,8.5,105,FNP040,2004,7,0,1,Adult
985120016100685,4.3,86.9,NA,2005,8,0,0,1year
985120016109807,4.3,79,FNP150,2004,6,0,0,1year
FNP000000000017,5.4,116,FNP152,2003,7,0,0,Adult
FNP000000000022,7.59,113.5,FNP038,2003,7,0,0,Adult
FNP000000000117,8,107.9,FNP026,2003,6,0,1,Adult
FNP000000000133,8.19,109.5,FNP088,2003,7,0,1,Adult
FNP000000000217,6.09,108.6,FNP164,2003,6,0,1,Adult
FNP000000000259,7.19,110.5,FNP024,2003,6,0,1,Adult
FNP000000000294,5.9,103.5,FNP150,2003,6,0,1,Adult
FNP000000000295,5.8,100.5,FNP196,2004,6,0,1,Adult
FNP000000000301,5,113.8,FNP208,2004,6,0,0,Adult
FNP000000000301,6.09,113.5,FNP206,2003,7,0,1,Adult
FNP000000000303,4.69,101,FNP196,2003,7,0,1,Adult
FNP000000000304,8.8,97.19,FNP195,2004,6,0,1,Adult
FNP000000000304,6.1,108.6,51,2005,7,0,0,Adult
FNP000000000304,7.8,109.5,FNP026,2006,4,0,0,Adult
FNP000000000322,5.69,108.3,FNP021,2003,6,0,1,Adult
FNP000000000326,6.9,107.6,FNP164,2003,6,0,1,Adult
FNP000000000327,7.9,108,FNP033,2003,7,0,1,Adult
